Rank,Name,Current club,Stints,Games,Career Elo ⌀,Total Elo +/-,Avg Elo +/-,Coach Rating
311,Ramis,none (since 2024-03-11),4,229,1535,+2,+0,1536
312,Thorsten Fink,Genk,7,392,1542,-13,-2,1535
313,Stefan Leitl,Hannover,3,224,1481,+81,+27,1535
314,Bolo,Burgos,3,181,1493,+63,+21,1535
315,Sabri Lamouchi,none (since 2023-06-01),3,114,1548,-20,-7,1534
316,Nanne Bergstrand,none (since 2020-12-31),7,599,1390,+253,+36,1534
317,Russell Martin,Southampton,2,143,1554,-26,-13,1534
318,Rubén Baraja,Valencia,6,186,1610,-131,-22,1533
319,Slaviša Stojanović,none (since 2021-05-23),6,312,1327,+354,+59,1533
320,Thomas Thomasberg,Midtjylland,4,298,1439,+149,+37,1533
321,Giovanni Stroppa,Cremonese,6,237,1457,+129,+21,1533
322,Roberto D'Aversa,Empoli,6,258,1502,+52,+9,1533
323,Felipe,none (since 2024-06-30),4,104,1590,-92,-23,1532
324,Emre Belözoğlu,none (since 2024-05-31),3,124,1492,+60,+20,1532
325,Francky Dury,none (since 2021-12-16),4,764,1436,+154,+39,1532
326,Olivier Dall'Oglio,Saint-Étienne,4,385,1526,+10,+3,1532
327,Claude Puel,none (since 2021-12-05),7,833,1689,-276,-39,1532
328,Sergi Barjuán,none (since 2021-11-07),4,113,1554,-36,-9,1532
329,Markus Weinzierl,none (since 2023-02-19),6,261,1566,-59,-10,1532
330,Dorinel Munteanu,Oțelul Galați,11,291,1389,+261,+24,1532
331,Silvio Baldini,none (since 2022-10-16),10,348,1570,-70,-7,1531
332,Peter Zeidler,Bochum,6,347,1466,+111,+19,1531
333,Hannes Wolf,none (since 2021-06-30),4,101,1589,-96,-24,1529
334,José Alberto López,Santander,4,180,1508,+33,+8,1529
335,Jean-Louis Gasset,none (since 2024-06-30),7,260,1589,-105,-15,1528
336,Alessio Dionisi,Palermo,4,179,1561,-52,-13,1528
337,Yuriy Maksimov,none (since 2022-06-30),4,181,1383,+233,+58,1528
338,Ronny Deila,none (since 2024-03-17),5,467,1415,+187,+37,1528
339,Gallego,ΑΠΟΕΛ,5,115,1554,-45,-9,1527
340,André Schubert,none (since 2021-12-07),5,181,1565,-65,-13,1526
341,Marco Balbul,נתניה,7,194,1364,+282,+40,1525
342,Hamza Hamzaoğlu,none (since 2022-02-22),9,232,1454,+128,+14,1525
343,Ante Šimundža,Maribor,4,321,1350,+279,+70,1524
344,Vladimir Fedotov,none (since 2024-06-03),8,422,1484,+71,+9,1523
345,Fabio Grosso,Sassuolo,7,196,1468,+97,+14,1523
346,Zoran Barišić,none (since 2023-11-14),5,212,1509,+24,+5,1523
347,Robin Dutt,none (since 2023-03-05),5,321,1564,-70,-14,1523
348,Julián Calero,Levante,3,121,1484,+56,+19,1521
349,Georgios Paraschos,none (since 2022-01-06),20,500,1340,+344,+17,1521
350,Lee Johnson,none (since 2023-08-27),2,242,1440,+108,+54,1520
351,Fabio Liverani,none (since 2024-03-18),6,132,1471,+85,+14,1520
352,Uli Forte,Xamax,7,233,1450,+123,+18,1520
353,Waldemar Fornalik,Zagłębie,6,554,1360,+273,+46,1519
354,Derek McInnes,Kilmarnock,4,559,1345,+275,+69,1516
355,Alfred Schreuder,none (since 2023-01-26),5,117,1650,-225,-45,1516
356,Pêpa,none (since 2022-06-30),4,195,1421,+151,+38,1515
357,Henrik Rydström,Malmö,4,190,1350,+264,+66,1515
358,Yves Vanderhaeghe,none (since 2022-10-31),6,301,1463,+89,+15,1515
359,Mick McCarthy,none (since 2023-04-08),7,861,1527,-21,-3,1515
360,Phillip Cocu,none (since 2023-11-11),5,329,1613,-164,-33,1514
361,Kjetil Rekdal,Aalesund,9,495,1369,+258,+29,1512
362,Ferario Spasov,none (since 2020-10-06),9,289,1377,+240,+27,1511
363,Ilhan Palut,Rizespor,3,160,1413,+146,+49,1511
364,Pierpaolo Bisoli,Modena,10,275,1431,+144,+14,1510
365,Jim Magilton,Cliftonville,3,158,1491,+27,+9,1509
366,Sergej Jakirović,Dinamo Zagreb,5,155,1362,+245,+49,1509
367,Eirik Horneland,Brann,3,186,1379,+195,+65,1509
368,Marco Giampaolo,none (since 2022-10-02),11,321,1585,-143,-13,1507
369,Tolunay Kafkas,none (since 2024-05-31),8,292,1498,+16,+2,1507
370,José Luis Oltra,none (since 2024-06-30),13,494,1572,-122,-9,1507
371,Dietmar Kühbauer,Wolfsberg,5,330,1455,+87,+17,1507
372,Fran Fernández,Murcia,6,151,1458,+82,+14,1506
373,Franco Foda,none (since 2022-09-21),5,452,1496,+16,+3,1506
374,Per-Mathias Høgmo,none (since 2023-12-31),7,374,1368,+237,+34,1504
375,Pascal Dupraz,none (since 2023-06-30),5,259,1521,-32,-6,1502
376,Vladimir Petković,none (since 2022-02-07),6,279,1512,-17,-3,1502
377,Frank Kramer,none (since 2022-10-19),5,136,1567,-109,-22,1502
378,René Hake,none (since 2024-07-06),3,199,1462,+59,+20,1502
379,Neil Harris,Millwall,4,186,1460,+66,+17,1502
380,Igor Shalimov,none (since 2022-08-08),3,111,1544,-64,-21,1502
381,Luca Gotti,Lecce,7,172,1542,-71,-10,1501
382,Ricardo Soares,none (since 2023-06-08),5,128,1445,+93,+19,1501
383,Viktor Skrypnyk,Metalist 1925,5,209,1469,+51,+10,1500
384,Torsten Lieberknecht,Darmstadt,3,371,1502,-5,-2,1499
385,Paul Lambert,none (since 2021-02-28),7,319,1505,-12,-2,1498
386,Markus Kauczinski,none (since 2024-04-28),8,222,1450,+85,+11,1498
387,Julio Velázquez,none (since 2024-03-11),12,310,1508,-20,-2,1498
388,Nenad Lalatović,none (since 2023-08-27),11,312,1302,+358,+33,1497
389,Yılmaz Vural,none (since 2021-05-09),20,490,1350,+280,+14,1497
390,Jean-Louis Garcia,none (since 2024-06-30),7,397,1443,+94,+13,1497
391,Miguel Álvarez,Villarreal B,5,177,1502,-10,-2,1496
392,Ivo Vieira,none (since 2022-11-02),7,196,1485,+18,+3,1496
393,Václav Kotal,none (since 2024-02-27),5,219,1380,+193,+39,1496
394,Giorgio Contini,none (since 2023-06-30),5,257,1393,+171,+34,1495
395,Nathan Jones,Charlton,5,167,1505,-16,-3,1495
396,Luís Castro,Dunkerque,8,256,1522,-48,-6,1495
397,Mesut Bakkal,none (since 2021-03-21),15,299,1457,+71,+5,1495
398,Gheorghe Hagi,Farul,7,324,1476,+33,+5,1494
399,Thomas Letsch,none (since 2024-04-08),5,188,1544,-88,-18,1492
400,Paul Clement,none (since 2021-02-01),4,120,1499,-14,-4,1490
401,Jacob Friis,none (since 2023-11-07),2,125,1409,+108,+54,1489
402,Paul Heckingbottom,none (since 2023-12-04),5,215,1494,-8,-2,1489
403,Rubén Albés,Gijón,4,152,1451,+59,+15,1488
404,Ricardo Moniz,Zürich,11,189,1393,+174,+16,1488
405,Magnus Haglund,Halmstad,4,521,1377,+177,+44,1487
406,Bülent Uygun,Sivasspor,11,248,1469,+32,+3,1487
407,Martin Svědík,none (since 2024-06-30),4,246,1408,+124,+31,1486
408,Robert Klauß,Rapid Wien,2,105,1473,+18,+9,1486
409,Jakob Michelsen,Ham-Kam,4,264,1352,+213,+53,1486
410,Petr Rada,Dukla,11,466,1454,+56,+5,1484
411,Sergey Tashuev,none (since 2024-04-26),6,158,1436,+82,+14,1484
412,Sá Pinto,none (since 2024-06-30),13,249,1473,+21,+2,1484
413,Bo Henriksen,Mainz,4,253,1393,+145,+36,1484
414,Paolo Tramezzani,Istra 1961,9,141,1439,+80,+9,1483
415,Timo Schultz,none (since 2024-06-30),3,112,1498,-23,-8,1483
416,Gheorghe Mulţescu,none (since 2021-04-13),23,447,1376,+204,+9,1483
417,Mustafa Denizli,none (since 2022-01-13),9,425,1491,-17,-2,1482
418,Alexander Zorniger,Fürth,5,208,1480,+2,+0,1482
419,Robbie Neilson,none (since 2023-04-09),2,134,1307,+233,+116,1482
