"","League","Team","Season","Gen..Role","DAVIES_TOTAL","DAVIES_weighted","League_DAVIES","Raw_League_DAVIES","SD_League","Raw_SD_League","Z"
"2532","EFL Championship","Wigan Athletic","2022-2023","Deep Midfielder",-3.15,-0.640380065441732,1.47460153192409,1.16772727272727,2.08897074510222,2.66467889929793,-1.01245151581208
"2533","EFL Championship","Wigan Athletic","2022-2023","Dribbler",2.02,2.02,1.81763375516684,2.17090909090909,2.0674992534545,3.6063923525964,0.0978797184545697
"2534","EFL Championship","Wigan Athletic","2022-2023","Finisher",-2.29,0.574478672985782,1.83437084839268,2.58958333333333,1.91330833465055,4.70101975909082,-0.658488834543759
"2535","EFL Championship","Wigan Athletic","2022-2023","Midfielder",-1.23,-1.23,0.943156306434658,1.2995652173913,1.46455869405462,3.09911641111531,-1.48383012251853
"2536","EFL Championship","Wigan Athletic","2022-2023","Wide Def",-0.25,1.47891528779522,1.12551068202392,1.175,1.07972980482511,3.86810030893719,0.327308373068896
"2537","EFL Championship","Wycombe Wanderers","2020-2021","Central Def",-1.01,0.541334661354582,1.51936052235173,1.93,1.2695771888983,4.26318619365131,-0.770355571563044
"2538","EFL Championship","Wycombe Wanderers","2020-2021","Deep Midfielder",-4.79,-0.565128897618463,1.40031391621224,1.27166666666667,1.64870758137127,2.77361429039513,-1.1921112245969
"2539","EFL Championship","Wycombe Wanderers","2020-2021","Dribbler",2.18,0.628722499734297,1.02506338561628,0.801666666666667,2.01091786724272,4.77742760204209,-0.197094517055251
"2540","EFL Championship","Wycombe Wanderers","2020-2021","Finisher",-1.36,0.00061187545257059,2.14110108090398,2.11208333333333,2.29862531043529,4.1891360312606,-0.931204053019874
"2541","EFL Championship","Wycombe Wanderers","2020-2021","Midfielder",-6.68,-0.876124421179787,0.913975589092411,0.181666666666667,1.49781730884708,2.91694251283573,-1.19513908652191
"2542","EFL Championship","Wycombe Wanderers","2020-2021","Wide Def",0.37,0.807937642091588,1.23249520001621,1.67041666666667,0.885731435214175,3.09890370400028,-0.479329897354224
"2543","Eredivisie","ADO Den Haag","2019-2020","Central Def",-0.43,1.06850041425021,0.807158967595894,0.221111111111111,0.957134293225606,3.55293563606026,0.27304574551767
"2544","Eredivisie","ADO Den Haag","2019-2020","Creator",-0.02,-0.02,1.56996913579664,1.57944444444444,2.01724214215492,3.14022567982963,-0.788189529938214
"2545","Eredivisie","ADO Den Haag","2019-2020","Deep Midfielder",-2.18,-2.18,0.423440132425316,0.3,1.60846314980816,1.90088137452078,-1.61858860909299
"2546","Eredivisie","ADO Den Haag","2019-2020","Dribbler",-5.48,-2.75206232813932,0.802201312600038,0.395555555555555,1.71046153890458,3.33417459972298,-2.07795589663804
"2547","Eredivisie","ADO Den Haag","2019-2020","Finisher",-1.33,0.164097384648097,1.52315732153528,1.655,1.71800591482469,3.1540417580883,-0.791068252536172
"2548","Eredivisie","ADO Den Haag","2019-2020","Midfielder",-2.2,0.22570987654321,0.767141419387978,0.621764705882353,1.38288779320324,2.33645360347182,-0.391522396470525
"2549","Eredivisie","ADO Den Haag","2019-2020","Wide Def",-1.35,0.301182568968547,1.02091525656285,1.17444444444444,0.989368028829235,2.58232959627365,-0.727467096795109
"2550","Eredivisie","ADO Den Haag","2020-2021","Central Def",-13.58,-1.42461405835544,0.635110759600049,0.292222222222222,1.04692764678806,4.91127700604083,-1.96739939409821
"2551","Eredivisie","ADO Den Haag","2020-2021","Creator",-10.3,-2.5421935261708,0.913416339765245,0.741666666666667,2.327026385175,4.03468236230634,-1.4849895505917
"2552","Eredivisie","ADO Den Haag","2020-2021","Deep Midfielder",-7.29,-1.38347893432466,0.811121471301034,0.375882352941177,1.5152238855051,3.16276789146692,-1.44836708727973
"2553","Eredivisie","ADO Den Haag","2020-2021","Dribbler",-7.53,-0.875477955520874,1.40467431030696,2.61176470588235,2.48422417594933,6.18262912854851,-0.917852860423308
"2554","Eredivisie","ADO Den Haag","2020-2021","Finisher",-4.78,-0.694645900675874,1.84482048177617,2.05944444444444,1.94182855008826,5.00256695545306,-1.30777064861706
"2555","Eredivisie","ADO Den Haag","2020-2021","Midfielder",-0.98,-0.0756518946692357,1.2639736592434,1.925625,2.18055932220702,4.71217284452371,-0.614349511278948
"2556","Eredivisie","ADO Den Haag","2020-2021","Wide Def",-1.25,0.772510495382032,0.764955192823394,-0.055,0.955111501109132,3.11065011173662,0.00791038800167742
"2557","Eredivisie","AZ Alkmaar","2019-2020","Central Def",-2.54,0.00986401958118025,0.807158967595894,0.221111111111111,0.957134293225606,3.55293563606026,-0.83300217499028
"2558","Eredivisie","AZ Alkmaar","2019-2020","Creator",2.72,3.5802810935695,1.56996913579664,1.57944444444444,2.01724214215492,3.14022567982963,0.996564525280712
"2559","Eredivisie","AZ Alkmaar","2019-2020","Deep Midfielder",3.74,2.53287134866377,0.423440132425316,0.3,1.60846314980816,1.90088137452078,1.31145759633352
"2560","Eredivisie","AZ Alkmaar","2019-2020","Dribbler",5.03,3.8663309076982,0.802201312600038,0.395555555555555,1.71046153890458,3.33417459972298,1.79140514148041
"2561","Eredivisie","AZ Alkmaar","2019-2020","Finisher",7.24,3.98891089108911,1.52315732153528,1.655,1.71800591482469,3.1540417580883,1.43524160672371
"2562","Eredivisie","AZ Alkmaar","2019-2020","Midfielder",3.92,3.92,0.767141419387978,0.621764705882353,1.38288779320324,2.33645360347182,2.27990918432285
"2563","Eredivisie","AZ Alkmaar","2019-2020","Wide Def",5.85,2.92937924345296,1.02091525656285,1.17444444444444,0.989368028829235,2.58232959627365,1.92897276976747
"2564","Eredivisie","AZ Alkmaar","2020-2021","Central Def",1.5,0.648937511255177,0.635110759600049,0.292222222222222,1.04692764678806,4.91127700604083,0.0132069792000892
"2565","Eredivisie","AZ Alkmaar","2020-2021","Creator",6.33,6.33,0.913416339765245,0.741666666666667,2.327026385175,4.03468236230634,2.3276846772098
"2566","Eredivisie","AZ Alkmaar","2020-2021","Deep Midfielder",3.28,3.87284237726098,0.811121471301034,0.375882352941177,1.5152238855051,3.16276789146692,2.02063928324317
"2567","Eredivisie","AZ Alkmaar","2020-2021","Dribbler",10.65,5.35191330004539,1.40467431030696,2.61176470588235,2.48422417594933,6.18262912854851,1.5889222188372
"2568","Eredivisie","AZ Alkmaar","2020-2021","Finisher",4.99,3.97598468606432,1.84482048177617,2.05944444444444,1.94182855008826,5.00256695545306,1.09750379568334
"2569","Eredivisie","AZ Alkmaar","2020-2021","Midfielder",5.75,3.00131049250535,1.2639736592434,1.925625,2.18055932220702,4.71217284452371,0.796739082293586
"2570","Eredivisie","AZ Alkmaar","2020-2021","Wide Def",2.29,1.50481124366727,0.764955192823394,-0.055,0.955111501109132,3.11065011173662,0.774627936094065
